,q_Years of Potential Life Lost Rate,q_% With Access to Exercise Opportunities,q_% Driving Deaths with Alcohol Involvement,q_Chlamydia Rate,q_% With Annual Mammogram,q_% Vaccinated,q_High School Graduation Rate,q_Social Association Rate,q_Violent Crime Rate,q_Average Daily PM2.5,q_Presence of Water Violation,q_% Severe Housing Problems,q_% Long Commute - Drives Alone,q_Child Mortality Rate,q_% Children Uninsured,q_Other Primary Care Provider Ratio,q_Average Reading Performance,q_Suicide Rate (Age-Adjusted),q_Juvenile Arrest Rate,q_% less than 18 years of age,q_% Native Hawaiian/Other Pacific Islander,q_% Female,q_Hypertension Death Rate,q_% workers commuting by public transit,q_% Veterans in Civilian Adult Population,class
2873,0.19355867346938774,0.6498724489795918,0.2458545918367347,0.5838647959183674,0.7562181122448979,0.9316007653061223,0.8520408163265306,0.4933035714285714,0.3255739795918368,0.43080357142857145,0.8168048469387755,0.9043367346938777,0.2272002551020408,0.5353954081632653,0.5261479591836735,0.07286352040816327,0.9942602040816326,0.3855229591836735,0.7646683673469388,0.024553571428571428,0.4499362244897959,0.11033163265306124,0.193718112244898,0.9693779904306221,0.0742984693877551,0.0
2874,0.5315688775510204,0.3284438775510204,0.8072385204081632,0.2691326530612245,0.7117346938775511,0.9046556122448979,0.6731505102040817,0.5220025510204082,0.37021683673469385,0.34518494897959184,0.8168048469387755,0.5784438775510204,0.9558354591836736,0.1956313775510204,0.8042091836734694,0.3646364795918368,0.6061862244897959,0.3960459183673469,0.7445790816326531,0.08769132653061225,0.26817602040816324,0.8887117346938775,0.11989795918367345,0.3845295055821372,0.7450573979591837,1.0
2875,0.3364158163265306,0.7075892857142857,0.3332270408163265,0.1946747448979592,0.7117346938775511,0.7981505102040817,0.7407525510204082,0.3284438775510204,0.3791454081632653,0.3926977040816326,0.3235012755102041,0.4872448979591837,0.996970663265306,0.1956313775510204,0.6648596938775511,0.6438137755102041,0.9477040816326532,0.8478954081632653,0.17346938775510204,0.2519132653061225,0.4094387755102041,0.17378826530612246,0.17267219387755106,0.10685805422647528,0.8732461734693877,0.0
2876,0.7391581632653061,0.057716836734693876,0.5674426020408163,0.948501275510204,0.7962372448979592,0.7981505102040817,0.6080994897959183,0.7391581632653061,0.2378826530612245,0.3314732142857143,0.3235012755102041,0.6345663265306123,0.38201530612244894,0.9668367346938777,0.7538265306122449,0.9435586734693876,0.6635841836734694,0.4040178571428572,0.9685905612244898,0.20886479591836732,0.8740433673469388,0.9518494897959184,0.3158482142857143,0.8666666666666667,0.8885522959183674,1.0
2877,0.3494897959183674,0.19993622448979592,0.15401785714285715,0.6543367346938775,0.8601721938775511,0.9316007653061223,0.8217474489795918,0.8667091836734694,0.4770408163265306,0.36017219387755106,0.3235012755102041,0.7120535714285714,0.6270727040816326,0.1956313775510204,0.7853954081632653,0.6301020408163265,0.9878826530612244,0.1210140306122449,0.8609693877551021,0.01211734693877551,0.7404336734693877,0.7362882653061225,0.3740433673469388,0.5695374800637959,0.9371811224489796,0.0
2878,0.6345663265306123,0.4518494897959184,0.6479591836734694,0.9764030612244898,0.6183035714285714,0.8726084183673469,0.5845025510204082,0.7716836734693877,0.6096938775510204,0.43080357142857145,0.3235012755102041,0.8073979591836735,0.6316964285714286,0.9052933673469388,0.6336096938775511,0.3931760204081632,0.5794005102040817,0.2672193877551021,0.979591836734694,0.16868622448979592,0.7059948979591837,0.04783163265306122,0.7069515306122449,0.3845295055821372,0.49920280612244894,1.0
2879,0.5701530612244898,0.4713010204081632,0.8514030612244898,0.39205994897959184,0.6653380102040817,0.9046556122448979,0.7260841836734694,0.16581632653061226,0.2704081632653061,0.3926977040816326,0.8168048469387755,0.4394132653061225,0.9685905612244898,0.46875,0.6186224489795918,0.6508290816326531,0.8338647959183674,0.7251275510204082,0.5786033163265306,0.3625637755102041,0.7617984693877551,0.8035714285714286,0.06887755102040816,0.8212121212121212,0.8577806122448979,0.0
2880,0.5644132653061225,0.1100127551020408,0.6991390306122449,0.2624362244897959,0.19276147959183676,0.1288265306122449,0.9789540816326532,0.3329081632653061,0.4005102040816326,0.3314732142857143,0.3235012755102041,0.4429209183673469,0.8968431122448979,0.7044005102040817,0.6543367346938775,0.1367984693877551,0.4862882653061225,0.9413265306122448,0.9614158163265306,0.2311862244897959,0.3010204081632653,0.6014030612244898,0.29528061224489793,0.2712918660287081,0.4604591836734694,0.0
2881,0.7487244897959183,0.22321428571428573,0.10618622448979592,0.15720663265306126,0.6653380102040817,0.25701530612244894,0.7369260204081632,0.2710459183673469,0.38137755102040816,0.4507334183673469,0.3235012755102041,0.5006377551020408,0.7557397959183674,0.1956313775510204,0.6788903061224489,0.4732142857142857,0.8415178571428571,0.6565688775510204,0.8195153061224489,0.07238520408163265,0.5009566326530612,0.6160714285714286,0.2554209183673469,0.10685805422647528,0.4574298469387755,0.0
2882,0.6540178571428571,0.0934311224489796,0.8714923469387755,0.4185267857142857,0.6653380102040817,0.7981505102040817,0.5999681122448979,0.7177933673469388,0.1881377551020408,0.6895727040816326,0.8168048469387755,0.2965561224489796,0.5095663265306123,0.8045280612244898,0.5353954081632653,0.6897321428571429,0.9757653061224488,0.7079081632653061,0.7608418367346939,0.15497448979591838,0.27487244897959184,0.6498724489795918,0.3235012755102041,0.3845295055821372,0.4807079081632653,1.0
2883,0.20950255102040816,0.49139030612244894,0.8698979591836735,0.17889030612244894,0.8601721938775511,0.9046556122448979,0.7492028061224489,0.3191964285714285,0.171875,0.43080357142857145,0.3235012755102041,0.4448341836734694,0.9883609693877552,0.5570790816326531,0.6779336734693877,0.6932397959183674,0.9830994897959184,0.4097576530612245,0.8083545918367347,0.11065051020408163,0.8051658163265306,0.1170280612244898,0.08641581632653061,0.10685805422647528,0.7316645408163265,0.0
2884,0.6224489795918368,0.7691326530612245,0.8131377551020408,0.9253826530612244,0.4604591836734694,0.6167091836734694,0.4807079081632653,0.41517857142857145,0.5309311224489796,0.43080357142857145,0.3235012755102041,0.4569515306122449,0.5095663265306123,0.1956313775510204,0.5640943877551021,0.18925382653061226,0.4566326530612245,0.7522321428571429,0.9078443877551021,0.04336734693877551,0.6438137755102041,0.3670280612244898,0.4652423469387755,0.6414673046251994,0.28746811224489793,1.0
2885,0.21556122448979592,0.16996173469387754,0.4708227040816326,0.9502551020408164,0.5162627551020408,0.5333227040816326,0.5755739795918368,0.16294642857142858,0.27168367346938777,0.4684311224489796,0.3235012755102041,0.4582270408163266,0.6623086734693877,0.546875,0.4492984693877551,0.08896683673469387,0.9139030612244898,0.6234056122448979,0.17346938775510204,0.4330357142857143,0.957908163265306,0.04846938775510204,0.16884566326530612,0.5695374800637959,0.9907525510204082,0.0
2886,0.1288265306122449,0.9521683673469388,0.4995216836734694,0.6954719387755102,0.2700892857142857,0.6597576530612245,0.6570471938775511,0.15146683673469388,0.4885204081632653,0.5373086734693877,0.8168048469387755,0.7197066326530612,0.9948979591836736,0.4371811224489796,0.6721938775510204,0.4810267857142857,0.8561862244897959,0.2786989795918368,0.8278061224489796,0.9438775510204082,0.875,0.3883928571428572,0.06154336734693878,0.9706539074960128,0.9253826530612244,0.0
2887,0.6307397959183674,0.7949617346938775,0.3596938775510204,0.4036989795918368,0.6183035714285714,0.7981505102040817,0.8172831632653061,0.8941326530612245,0.6336096938775511,0.43080357142857145,0.8168048469387755,0.10586734693877553,0.4124681122448979,0.5854591836734694,0.4333545918367347,0.4167729591836735,0.6071428571428571,0.5028698979591837,0.9545599489795918,0.08258928571428571,0.11575255102040816,0.40625,0.18144132653061226,0.4853269537480064,0.6412627551020408,0.0
2888,0.04591836734693878,0.2624362244897959,0.6991390306122449,0.33115433673469385,0.19276147959183676,0.6167091836734694,0.8172831632653061,0.3622448979591837,0.10714285714285714,0.3199936224489796,0.3235012755102041,0.7595663265306123,0.9497767857142856,0.1956313775510204,0.8510841836734694,0.0036670918367346936,0.5660076530612245,0.1210140306122449,0.17346938775510204,0.037308673469387765,0.5510204081632653,0.7235331632653061,0.01913265306122449,0.5695374800637959,0.8737244897959183,0.0
2889,0.7774234693877551,0.41485969387755106,0.10618622448979592,0.5969387755102041,0.8883928571428571,0.9316007653061223,0.8359375,0.9107142857142856,0.2987882653061225,0.3314732142857143,0.3235012755102041,0.7962372448979592,0.3789859693877551,0.1956313775510204,0.6712372448979592,0.4231505102040816,0.4633290816326531,0.7742346938775511,0.5623405612244898,0.06568877551020408,0.3603316326530612,0.02264030612244898,0.3785076530612245,0.8212121212121212,0.6098533163265306,0.0
